feature,bin,count,bads,bad_rate,woe,iv
util_max_3m,"(0.9558, 0.9916]",8372,42,0.005016722408026756,-1.0816438203488137,0.3934240031587019
util_max_3m,"(0.9916, inf]",33491,168,0.005016273028574841,-1.0905515218987043,0.3934240031587019
util_std_3m,"(-inf, 0.02355]",117216,1497,0.012771294021294021,-0.15004740613437612,0.04307032292665296
util_std_3m,"(0.02355, inf]",50235,982,0.01954812381805514,0.2826893358608751,0.04307032292665296
months_overlimit_3m,"(-inf, 1]",136606,2324,0.01701242990791034,0.1406853534134305,0.1538103780935457
months_overlimit_3m,"(1, 2]",11397,67,0.005878740019303326,-0.9259997047795183,0.1538103780935457
months_overlimit_3m,"(2, inf]",19448,88,0.004524886877828055,-1.1908614539124913,0.1538103780935457
dpd_max_3m,"(-inf, 1]",147319,1006,0.006828718630998039,-0.7819479116336221,1.1747197199790975
dpd_max_3m,"(1, inf]",20132,1473,0.07316709715875223,1.6586098256019184,1.1747197199790975
months_in_arrears_3m,"(-inf, 1]",147319,1006,0.006828718630998039,-0.782146432799119,1.2661057628525916
months_in_arrears_3m,"(1, 2]",11663,510,0.04372802880905428,1.1130081896448605,1.2661057628525916
months_in_arrears_3m,"(2, inf]",8469,963,0.11370882040382571,2.1441740780190384,1.2661057628525916
payment_ratio_mean_3m,"(-inf, 0.8]",5141,543,0.1056214744213188,2.061670445235489,1.450659569730799
payment_ratio_mean_3m,"(0.8, 8.937]",93757,1802,0.01921989824759751,0.2649960068155552,1.450659569730799
payment_ratio_mean_3m,"(8.937, inf]",5206,77,0.014790626200537841,0.004640649848510804,1.450659569730799
payment_ratio_mean_3m,missing,63347,57,0.00089980583137323,-2.806579389060066,1.450659569730799
payment_ratio_std_3m,"(-inf, 0.005807]",46847,569,0.012145921830640168,-0.2013414842367409,1.4209622845775285
payment_ratio_std_3m,"(0.005807, 0.05893]",5201,72,0.013843491636223804,-0.06284440341758006,1.4209622845775285
payment_ratio_std_3m,"(0.05893, 0.3143]",10334,181,0.017514999032320497,0.1720144033376917,1.4209622845775285
payment_ratio_std_3m,"(0.3143, 0.5]",10340,336,0.03249516441005803,0.8041403805777931,1.4209622845775285
payment_ratio_std_3m,"(0.5, 0.8498]",10558,405,0.038359537791248344,0.9758796231882539,1.4209622845775285
payment_ratio_std_3m,"(0.8498, 1.235]",5208,207,0.039746543778801845,1.0139706954950758,1.4209622845775285
payment_ratio_std_3m,"(1.235, inf]",15616,652,0.04175204918032787,1.063707633010794,1.4209622845775285
payment_ratio_std_3m,missing,63347,57,0.00089980583137323,-2.8073730678274846,1.4209622845775285
months_zero_payment_3m,"(-inf, 3]",157511,2420,0.015364006323367891,0.03728356725202673,0.03502708234154872
months_zero_payment_3m,"(3, inf]",9940,59,0.005935613682092555,-0.9151185863464313,0.03502708234154872
atm_share_3m,"(-inf, 0.5889]",6177,63,0.010199125789218067,-0.3700536705483051,0.16446113268565946
atm_share_3m,"(0.5889, inf]",35003,191,0.005456675142130675,-1.0055192858664657,0.16446113268565946
atm_share_3m,missing,126271,2225,0.01762083138646245,0.17664981634613552,0.16446113268565946
drawings_to_limit_3m,"(-inf, 0.0375]",133811,2271,0.01697169888873112,0.13825179824318407,0.12430194125696663
drawings_to_limit_3m,"(0.0375, 0.075]",8452,66,0.007808802650260294,-0.6400504204560243,0.12430194125696663
drawings_to_limit_3m,"(0.075, inf]",25188,142,0.005637605208829602,-0.9720211954666199,0.12430194125696663
util_mean_6m,"(-inf, 0.3704]",83725,1846,0.022048372648551806,0.4041774849829426,0.4139516708211996
util_mean_6m,"(0.3704, 0.5133]",8373,177,0.021139376567538518,0.3636422799985521,0.4139516708211996
util_mean_6m,"(0.5133, 0.6362]",8373,108,0.012898602651379433,-0.1369611475629599,0.4139516708211996
util_mean_6m,"(0.6362, 0.7342]",8372,67,0.008002866698518872,-0.6164114431030547,0.4139516708211996
util_mean_6m,"(0.7342, 0.8178]",8373,60,0.007165890361877463,-0.7268584294940457,0.4139516708211996
util_mean_6m,"(0.8178, 0.8794]",8372,57,0.006808408982322026,-0.7779573903572972,0.4139516708211996
util_mean_6m,"(0.8794, 0.9306]",8372,38,0.004538939321548017,-1.1813663801398113,0.4139516708211996
util_mean_6m,"(0.9306, inf]",33491,126,0.0037622047714311307,-1.3789012188717786,0.4139516708211996
util_max_6m,"(-inf, 0.6156]",83725,1797,0.021463123320394146,0.377080756028853,0.24947683118528788
util_max_6m,"(0.6156, 0.7504]",8373,108,0.012898602651379433,-0.13656447042261405,0.24947683118528788
util_max_6m,"(0.7504, 0.8512]",8373,92,0.010987698554878777,-0.298039884783891,0.24947683118528788
util_max_6m,"(0.8512, 0.9226]",8372,78,0.009316770186335404,-0.46371843765402837,0.24947683118528788
util_max_6m,"(0.9226, 1.002]",16745,136,0.008121827411167513,-0.6048746240913195,0.24947683118528788
util_max_6m,"(1.002, inf]",41863,268,0.006401834555574135,-0.8463654922824443,0.24947683118528788
util_std_6m,"(-inf, 0.0002139]",58608,149,0.0025423150423150424,-1.771666911924289,0.6620723138402362
util_std_6m,"(0.0002139, 0.04552]",50235,857,0.01705981885139843,0.14387697428999874,0.6620723138402362
util_std_6m,"(0.04552, inf]",58608,1473,0.025133087633087633,0.5393410644489134,0.6620723138402362
months_overlimit_6m,"(-inf, 1]",124973,2197,0.01757979723620302,0.17368398174260574,0.14686818074909583
months_overlimit_6m,"(1, 2]",11163,98,0.008779002060378035,-0.5248016303273537,0.14686818074909583
months_overlimit_6m,"(2, 3]",8646,60,0.006939625260235947,-0.7585738559000511,0.14686818074909583
months_overlimit_6m,"(3, 5]",12730,70,0.0054988216810683424,-0.9939002190837624,0.14686818074909583
months_overlimit_6m,"(5, inf]",9939,54,0.005433142167220043,-1.0038943538586669,0.14686818074909583
dpd_max_6m,"(-inf, 1]",137517,850,0.006181053978780805,-0.8821571335363764,1.080761585599961
dpd_max_6m,"(1, inf]",29934,1629,0.054419723391461214,1.342541789421802,1.080761585599961
months_in_arrears_6m,"(-inf, 1]",137517,850,0.006181053978780805,-0.882355654701873,1.1581662032560789
months_in_arrears_6m,"(1, 3]",20759,810,0.039019220579025966,0.9938181628454132,1.1581662032560789
months_in_arrears_6m,"(3, inf]",9175,819,0.08926430517711172,1.8750256210718814,1.1581662032560789
payment_ratio_mean_6m,"(-inf, 1]",5351,340,0.06353952532236964,1.5078522755819437,1.1636147091823537
payment_ratio_mean_6m,"(1, 5.764]",96593,1938,0.020063565682813454,0.3085981937970888,1.1636147091823537
payment_ratio_mean_6m,"(5.764, 10.86]",5664,96,0.01694915254237288,0.1415897119690829,1.1636147091823537
payment_ratio_mean_6m,"(10.86, inf]",5664,65,0.011475988700564972,-0.2514547439242444,1.1636147091823537
payment_ratio_mean_6m,missing,54179,40,0.0007382934347256317,-3.0010896532400078,1.1636147091823537
payment_ratio_std_6m,"(-inf, 0.001342]",33982,292,0.008592784415278677,-0.5501740085681686,1.413589350362207
payment_ratio_std_6m,"(0.001342, 0.1571]",11134,100,0.008981498113885397,-0.5022917775395258,1.413589350362207
payment_ratio_std_6m,"(0.1571, 0.2981]",5836,56,0.009595613433858808,-0.4316723227134228,1.413589350362207
payment_ratio_std_6m,"(0.2981, 0.5775]",17011,302,0.0177532185056728,0.18468108078096707,1.413589350362207
payment_ratio_std_6m,"(0.5775, 0.8165]",10084,269,0.026675922253074177,0.6011828447505221,1.413589350362207
payment_ratio_std_6m,"(0.8165, 1.099]",6907,254,0.036774286955262775,0.9327350272563385,1.413589350362207
payment_ratio_std_6m,"(1.099, inf]",28318,1166,0.04117522423899993,1.0488711915568518,1.413589350362207
payment_ratio_std_6m,missing,54179,40,0.0007382934347256317,-3.001684851447747,1.413589350362207
months_zero_payment_6m,"(-inf, 1]",129007,1079,0.008363887230925455,-0.5778473621083035,0.519046318390302
months_zero_payment_6m,"(1, 2]",20547,653,0.03178079524991483,0.7812701234787361,0.519046318390302
months_zero_payment_6m,"(2, inf]",17897,747,0.04173883891154942,1.0640778795937667,0.519046318390302
atm_share_6m,"(-inf, 0.1338]",5857,105,0.017927266518695577,0.19864583318907383,0.1524156237236991
atm_share_6m,"(0.1338, inf]",52706,382,0.007247751679125716,-0.7211666361577511,0.1524156237236991
atm_share_6m,missing,108888,1992,0.018294026890015427,0.21485375724902805,0.1524156237236991
drawings_to_limit_6m,"(-inf, 0.05]",116024,2112,0.01820313038681652,0.20976617260942018,0.15350857289911496
drawings_to_limit_6m,"(0.05, inf]",51427,367,0.007136329165613394,-0.7367184623132614,0.15350857289911496
util_mean_12m,"(-inf, 0.5878]",92098,1940,0.02106451823058047,0.3575106232729123,0.33837787638088834
util_mean_12m,"(0.5878, 0.6769]",8373,133,0.01588439030216171,0.0734193611156623,0.33837787638088834
util_mean_12m,"(0.6769, 0.7543]",8372,90,0.01075011944577162,-0.3204160995185778,0.33837787638088834
util_mean_12m,"(0.7543, 0.8201]",8372,69,0.008241758241758242,-0.5869714551264686,0.33837787638088834
util_mean_12m,"(0.8201, 0.8754]",8373,59,0.007046458855846172,-0.7436457610267923,0.33837787638088834
util_mean_12m,"(0.8754, 0.9204]",8371,50,0.0059730020308206904,-0.9084902857958744,0.33837787638088834
util_mean_12m,"(0.9204, 0.9869]",16746,75,0.004478681476173415,-1.2011891134957298,0.33837787638088834
util_mean_12m,"(0.9869, inf]",16746,63,0.0037620924399856684,-1.3750013961871084,0.33837787638088834
util_max_12m,"(-inf, 0.7686]",75353,1540,0.02043714251589187,0.326897899597521,0.1673100615031434
util_max_12m,"(0.7686, 0.8676]",8372,168,0.020066889632107024,0.31083018882676977,0.1673100615031434
util_max_12m,"(0.8676, 0.9358]",8373,107,0.012779171145348142,-0.14614313217412397,0.1673100615031434
util_max_12m,"(0.9358, 0.9797]",8373,97,0.011584856085035232,-0.24499057244686048,0.1673100615031434
util_max_12m,"(0.9797, 1.005]",8370,88,0.010513739545997611,-0.3425650799106088,0.1673100615031434
util_max_12m,"(1.005, 1.021]",8373,72,0.008599068434252956,-0.5442724362376536,0.1673100615031434
util_max_12m,"(1.021, inf]",50237,407,0.00810159842347274,-0.6100090904106277,0.1673100615031434
util_std_12m,"(-inf, 0.01615]",50236,100,0.001990604347479895,-2.0160143349798774,0.8797083170417186
util_std_12m,"(0.01615, 0.0416]",16744,104,0.006211180124223602,-0.8740751883462644,0.8797083170417186
util_std_12m,"(0.0416, 0.05275]",8373,55,0.006568732831721008,-0.8135217060978506,0.8797083170417186
util_std_12m,"(0.05275, 0.06532]",8372,77,0.00919732441471572,-0.4768580394745507,0.8797083170417186
util_std_12m,"(0.06532, 0.07808]",8373,82,0.009793383494565867,-0.41385537706396,0.8797083170417186
util_std_12m,"(0.07808, 0.09164]",8373,138,0.016481547832318165,0.11099347065422083,0.8797083170417186
util_std_12m,"(0.09164, inf]",66980,1923,0.028710062705285158,0.6752074512211106,0.8797083170417186
months_overlimit_12m,"(-inf, 1]",106579,1963,0.018418262509499995,0.22135501251679407,0.13997424412980886
months_overlimit_12m,"(1, 2]",11724,139,0.011856021835551006,-0.22251729347408566,0.13997424412980886
months_overlimit_12m,"(2, 6]",28781,251,0.008721031235884785,-0.5343582794687334,0.13997424412980886
months_overlimit_12m,"(6, inf]",20367,126,0.0061864781263809105,-0.8783202227024062,0.13997424412980886
dpd_max_12m,"(-inf, 1]",122289,668,0.0054624700504542515,-1.0063079433713524,0.9493679016702182
dpd_max_12m,"(1, inf]",45162,1811,0.04010008414153492,1.022138628831431,0.9493679016702182
months_in_arrears_12m,"(-inf, 1]",122289,668,0.0054624700504542515,-1.0067049450965284,1.0465439068194275
months_in_arrears_12m,"(1, 2]",17217,369,0.021432305279665446,0.3770615297991434,1.0465439068194275
months_in_arrears_12m,"(2, 3]",9068,340,0.03749448610498456,0.9529940132820302,1.0465439068194275
months_in_arrears_12m,"(3, inf]",18877,1102,0.058377920220374,1.4166869241072628,1.0465439068194275
payment_ratio_mean_12m,"(-inf, 2.901]",96722,1981,0.020481379624077253,0.32943126395958117,0.7365806275442095
payment_ratio_mean_12m,"(2.901, 3.467]",6448,130,0.020161290322580645,0.31686537005108256,0.7365806275442095
payment_ratio_mean_12m,"(3.467, 4.424]",6448,129,0.02000620347394541,0.30901477153948137,0.7365806275442095
payment_ratio_mean_12m,"(4.424, 6.416]",6448,84,0.013027295285359801,-0.1250101584602913,0.7365806275442095
payment_ratio_mean_12m,"(6.416, inf]",12897,124,0.009614639063348066,-0.4340930149564317,0.7365806275442095
payment_ratio_mean_12m,missing,38488,31,0.000805445853252962,-2.910592208111249,0.7365806275442095
payment_ratio_std_12m,"(-inf, 0.1242]",32138,259,0.008058995581554545,-0.6146292441113538,0.8956311259576175
payment_ratio_std_12m,"(0.1242, 0.2531]",6551,62,0.009464203938330026,-0.44644170613589973,0.8956311259576175
payment_ratio_std_12m,"(0.2531, 0.4146]",12792,184,0.014383989993746092,-0.02814450294159394,0.8956311259576175
payment_ratio_std_12m,"(0.4146, 0.4999]",6552,118,0.018009768009768008,0.20181604589102453,0.8956311259576175
payment_ratio_std_12m,"(0.4999, 0.5891]",6448,117,0.018145161290322582,0.20947838194310855,0.8956311259576175
payment_ratio_std_12m,"(0.5891, 0.8375]",12896,268,0.020781637717121586,0.34547197275264907,0.8956311259576175
payment_ratio_std_12m,"(0.8375, inf]",51586,1440,0.027914550459426975,0.6463740564476546,0.8956311259576175
payment_ratio_std_12m,missing,38488,31,0.000805445853252962,-2.9109889663487607,0.8956311259576175
months_zero_payment_12m,"(-inf, 1]",111528,829,0.00743311096764938,-0.696625311327218,0.49400866679391575
months_zero_payment_12m,"(1, 2]",23940,544,0.022723475355054302,0.4366524058808762,0.49400866679391575
months_zero_payment_12m,"(2, inf]",31983,1106,0.03458087108776538,0.8683002981959118,0.49400866679391575
atm_share_12m,"(-inf, 0.3032]",8067,169,0.020949547539357877,0.3557494819938266,0.08427936701741404
atm_share_12m,"(0.3032, inf]",72596,737,0.010152074494462504,-0.38187731227301636,0.08427936701741404
atm_share_12m,missing,86788,1573,0.01812462552426603,0.20544379753322356,0.08427936701741404
drawings_to_limit_12m,"(-inf, 0.05]",91493,1714,0.01873367361437487,0.23869252920893727,0.09469289926594165
drawings_to_limit_12m,"(0.05, 0.1107]",8978,106,0.011806638449543327,-0.22563919891387438,0.09469289926594165
drawings_to_limit_12m,"(0.1107, 1.167]",58602,582,0.009931401658646463,-0.40429478945913777,0.09469289926594165
drawings_to_limit_12m,"(1.167, inf]",8378,77,0.009190737646216281,-0.47698586353124234,0.09469289926594165
util_slope_12m,"(-inf, -0.02461]",41854,1715,0.040975772924929516,1.0436761986779062,1.0535820440121642
util_slope_12m,"(-0.02461, -0.01958]",8371,140,0.016724405686297933,0.12581645393528204,1.0535820440121642
util_slope_12m,"(-0.01958, -0.01404]",8371,104,0.012423844224107037,-0.17456787120152406,1.0535820440121642
util_slope_12m,"(-0.01404, -0.008023]",8371,93,0.011109783777326484,-0.2871231330034662,1.0535820440121642
util_slope_12m,"(-0.008023, -0.003108]",8371,66,0.00788436268068331,-0.6311387750197649,1.0535820440121642
util_slope_12m,"(-0.003108, -0.0002888]",8370,59,0.007048984468339307,-0.7430865621743717,1.0535820440121642
util_slope_12m,"(-0.0002888, inf]",83709,302,0.0036077363246484846,-1.4230797326406524,1.0535820440121642
util_slope_12m,missing,34,0,0.0,-0.03777400234770125,1.0535820440121642
balance_slope_12m,"(-inf, -2206]",50236,1683,0.03350187116808663,0.834739537941783,0.9277498465017797
balance_slope_12m,"(-2206, -1545]",8372,207,0.024725274725274724,0.5239889602438937,0.9277498465017797
balance_slope_12m,"(-1545, -887.8]",8372,153,0.018275203057811752,0.2159667691676253,0.9277498465017797
balance_slope_12m,"(-887.8, -338.2]",8373,82,0.009793383494565867,-0.41365701822357953,0.9277498465017797
balance_slope_12m,"(-338.2, -15.26]",8372,59,0.007047300525561395,-0.7431288048389114,0.9277498465017797
balance_slope_12m,"(-15.26, inf]",83726,295,0.0035233977498029287,-1.4465815169425986,0.9277498465017797
util_trend_ratio,"(-inf, 0.6831]",43703,1910,0.04370409354048921,1.1115518633154993,1.6396067629463458
util_trend_ratio,"(0.6831, 0.7866]",6243,131,0.02098350152170431,0.3578434182919891,1.6396067629463458
util_trend_ratio,"(0.7866, 0.8512]",6244,51,0.008167841127482383,-0.5927461258672668,1.6396067629463458
util_trend_ratio,"(0.8512, inf]",68676,359,0.005227444813326344,-1.0502793576686758,1.6396067629463458
util_trend_ratio,missing,42585,28,0.0006575085123869907,-3.111779593956823,1.6396067629463458
months_since_arrears,"(-inf, 1]",10675,1183,0.11081967213114755,2.1135136089770574,1.441321914693561
months_since_arrears,"(1, 2]",5207,196,0.037641636258882276,0.9567113529733712,1.441321914693561
months_since_arrears,"(2, 4]",7858,162,0.02061593280733011,0.33769651484863905,1.441321914693561
months_since_arrears,"(4, 7]",8987,136,0.015132969845332146,0.023521871588657404,1.441321914693561
months_since_arrears,"(7, 9]",5248,64,0.012195121951219513,-0.19122398806763005,1.441321914693561
months_since_arrears,"(9, 13]",9357,86,0.00919098001496206,-0.4790165717006279,1.441321914693561
months_since_arrears,"(13, 16]",6269,50,0.007975753708725474,-0.6179319882397291,1.441321914693561
months_since_arrears,"(16, 27]",19031,115,0.006042772318848195,-0.9029798339732145,1.441321914693561
months_since_arrears,"(27, 35]",10273,49,0.004769784872967974,-1.1350299382562485,1.441321914693561
months_since_arrears,"(35, 47]",9524,28,0.0029399412011759767,-1.6132350292487099,1.441321914693561
months_since_arrears,"(47, inf]",5154,13,0.002522312766783081,-1.7468709870958854,1.441321914693561
months_since_arrears,missing,69868,397,0.005682143470544456,-0.967937469284583,1.441321914693561
months_since_overlimit,"(-inf, 1]",19675,84,0.0042693773824650574,-1.2503618744169447,0.19547684938064713
months_since_overlimit,"(1, 2]",6257,36,0.005753556017260668,-0.9427163847216274,0.19547684938064713
months_since_overlimit,"(2, 5]",12952,114,0.008801729462631254,-0.5238912560898671,0.19547684938064713
months_since_overlimit,"(5, 11]",19129,242,0.012650948821161587,-0.15951622729784426,0.19547684938064713
months_since_overlimit,"(11, 14]",8323,124,0.014898474107893788,0.008214929026874861,0.19547684938064713
months_since_overlimit,"(14, 17]",7800,117,0.015,0.015345550994439244,0.19547684938064713
months_since_overlimit,"(17, 22]",12103,219,0.0180946872676196,0.2040995923474324,0.19547684938064713
months_since_overlimit,"(22, 25]",6708,134,0.01997614788312463,0.30634805942053306,0.19547684938064713
months_since_overlimit,"(25, 29]",8325,174,0.020900900900900903,0.3517051721683858,0.19547684938064713
months_since_overlimit,"(29, inf]",33839,718,0.02121812110286947,0.3649654770959784,0.19547684938064713
months_since_overlimit,missing,32340,517,0.01598639455782313,0.07678690448757915,0.19547684938064713
dpd_max_ever,"(-inf, 1]",69868,397,0.005682143470544456,-0.9663507603965821,0.7671066607886208
dpd_max_ever,"(1, 12]",88938,1293,0.014538217634756797,-0.018822365829306655,0.7671066607886208
dpd_max_ever,"(12, inf]",8645,789,0.09126662810873337,1.8994295210824872,0.7671066607886208
months_in_arrears_ever,"(-inf, 1]",69868,397,0.005682143470544456,-0.9673427574639663,0.45029405362191544
months_in_arrears_ever,"(1, 2]",24877,275,0.011054387586927684,-0.29588153023057856,0.45029405362191544
months_in_arrears_ever,"(2, 3]",16203,278,0.017157316546318583,0.1498753661951939,0.45029405362191544
months_in_arrears_ever,"(3, 4]",11199,254,0.022680596481828734,0.4347513280663855,0.45029405362191544
months_in_arrears_ever,"(4, 5]",8623,223,0.025861069233445437,0.5694990911337591,0.45029405362191544
months_in_arrears_ever,"(5, 6]",6613,175,0.026463027370331165,0.5937223541416746,0.45029405362191544
months_in_arrears_ever,"(6, 13]",21631,581,0.026859599648652397,0.6070655641107605,0.45029405362191544
months_in_arrears_ever,"(13, inf]",8437,296,0.03508356050728932,0.883451685183098,0.45029405362191544
limit_changes_ever,"(-inf, 1]",48026,756,0.015741473368592013,0.0621870129807279,0.018513003253937906
limit_changes_ever,"(1, 2]",108895,1636,0.015023646632076771,0.014434864002177817,0.018513003253937906
limit_changes_ever,"(2, inf]",10530,87,0.008262108262108263,-0.5849700799148262,0.018513003253937906
