feature,bin,count,bads,bad_rate,woe,iv,points
util_std_12m,"(0.09164, inf]",66980,1923,0.028710062705285158,0.6752074512211106,0.8797083170417186,31.2
dpd_max_ever,"(-inf, 1]",69868,397,0.005682143470544456,-0.9663507603965821,0.7671066607886208,47.8
dpd_max_ever,"(1, 12]",88938,1293,0.014538217634756797,-0.018822365829306655,0.7671066607886208,35.7
dpd_max_ever,"(12, inf]",8645,789,0.09126662810873337,1.8994295210824872,0.7671066607886208,11.3
payment_ratio_mean_12m,"(-inf, 2.901]",96722,1981,0.020481379624077253,0.32943126395958117,0.7365806275442095,36.2
payment_ratio_mean_12m,"(2.901, 3.467]",6448,130,0.020161290322580645,0.31686537005108256,0.7365806275442095,36.2
payment_ratio_mean_12m,"(3.467, 4.424]",6448,129,0.02000620347394541,0.30901477153948137,0.7365806275442095,36.2
payment_ratio_mean_12m,"(4.424, 6.416]",6448,84,0.013027295285359801,-0.1250101584602913,0.7365806275442095,35.2
payment_ratio_mean_12m,"(6.416, inf]",12897,124,0.009614639063348066,-0.4340930149564317,0.7365806275442095,34.5
payment_ratio_mean_12m,missing,38488,31,0.000805445853252962,-2.910592208111249,0.7365806275442095,28.9
months_zero_payment_6m,"(-inf, 1]",129007,1079,0.008363887230925455,-0.5778473621083035,0.519046318390302,32.4
months_zero_payment_6m,"(1, 2]",20547,653,0.03178079524991483,0.7812701234787361,0.519046318390302,39.6
months_zero_payment_6m,"(2, inf]",17897,747,0.04173883891154942,1.0640778795937667,0.519046318390302,41.1
util_at_observation,"(-inf, 0.3949]",92098,2119,0.023008100067319594,0.44832760569043517,0.5125048784388997,20.7
util_at_observation,"(0.3949, 0.5798]",8373,73,0.008718499940284247,-0.5300563662282699,0.5125048784388997,53.0
util_at_observation,"(0.5798, 0.8189]",16745,86,0.005135861451179457,-1.063862228840759,0.5125048784388997,70.6
util_at_observation,"(0.8189, 0.8932]",8372,35,0.004180602006688963,-1.262256733255439,0.5125048784388997,77.1
util_at_observation,"(0.8932, inf]",41863,166,0.003965315433676516,-1.3264718840437597,0.5125048784388997,79.2
tenure_months,"(-inf, 40]",65195,1335,0.020477030447120178,0.3285406428583002,0.19806739692410844,27.1
tenure_months,"(40, 44]",17078,337,0.01973298981145333,0.2918554707224215,0.19806739692410844,28.0
tenure_months,"(44, 48]",16410,248,0.015112736136502132,0.020929728630286696,0.19806739692410844,34.9
tenure_months,"(48, 50]",9970,132,0.013239719157472418,-0.11153998780190666,0.19806739692410844,38.3
tenure_months,"(50, 54]",13942,127,0.009109166547123798,-0.4894941584747214,0.19806739692410844,48.0
tenure_months,"(54, 57]",10240,79,0.00771484375,-0.6546684201963593,0.19806739692410844,52.2
tenure_months,"(57, 60]",9114,63,0.0069124423963133645,-0.7637099567436364,0.19806739692410844,55.0
tenure_months,"(60, 66]",14988,100,0.006672004270082733,-0.8022507481798798,0.19806739692410844,56.0
tenure_months,"(66, inf]",10514,58,0.005516454251474225,-0.990016413183036,0.19806739692410844,60.8
months_since_overlimit,"(-inf, 1]",19675,84,0.0042693773824650574,-1.2503618744169447,0.19547684938064713,42.7
months_since_overlimit,"(1, 2]",6257,36,0.005753556017260668,-0.9427163847216274,0.19547684938064713,40.9
months_since_overlimit,"(2, 5]",12952,114,0.008801729462631254,-0.5238912560898671,0.19547684938064713,38.5
months_since_overlimit,"(5, 11]",19129,242,0.012650948821161587,-0.15951622729784426,0.19547684938064713,36.4
months_since_overlimit,"(11, 14]",8323,124,0.014898474107893788,0.008214929026874861,0.19547684938064713,35.4
months_since_overlimit,"(14, 17]",7800,117,0.015,0.015345550994439244,0.19547684938064713,35.4
months_since_overlimit,"(17, 22]",12103,219,0.0180946872676196,0.2040995923474324,0.19547684938064713,34.3
months_since_overlimit,"(22, 25]",6708,134,0.01997614788312463,0.30634805942053306,0.19547684938064713,33.7
months_since_overlimit,"(25, 29]",8325,174,0.020900900900900903,0.3517051721683858,0.19547684938064713,33.5
months_since_overlimit,"(29, inf]",33839,718,0.02121812110286947,0.3649654770959784,0.19547684938064713,33.4
months_since_overlimit,missing,32340,517,0.01598639455782313,0.07678690448757915,0.19547684938064713,35.0
atm_share_3m,"(-inf, 0.5889]",6177,63,0.010199125789218067,-0.3700536705483051,0.16446113268565946,36.0
atm_share_3m,"(0.5889, inf]",35003,191,0.005456675142130675,-1.0055192858664657,0.16446113268565946,36.8
atm_share_3m,missing,126271,2225,0.01762083138646245,0.17664981634613552,0.16446113268565946,35.2
drawings_to_limit_6m,"(-inf, 0.05]",116024,2112,0.01820313038681652,0.20976617260942018,0.15350857289911496,34.4
drawings_to_limit_6m,"(0.05, inf]",51427,367,0.007136329165613394,-0.7367184623132614,0.15350857289911496,39.3
limit_at_observation_log,"(-inf, 11.41]",32380,681,0.02103150092649784,0.3567709253562095,0.11563736121680622,30.7
limit_at_observation_log,"(11.41, 11.63]",22696,417,0.01837328163553049,0.21939315324315187,0.11563736121680622,32.5
limit_at_observation_log,"(11.63, 11.81]",14872,265,0.017818719741796666,0.18885532734334015,0.11563736121680622,32.9
limit_at_observation_log,"(11.81, 11.97]",27915,383,0.013720222102812108,-0.0772519221418496,0.11563736121680622,36.5
limit_at_observation_log,"(11.97, 12.51]",59186,688,0.011624370628189098,-0.245710212606922,0.11563736121680622,38.8
limit_at_observation_log,"(12.51, inf]",10402,45,0.004326091136319939,-1.2312229869047135,0.11563736121680622,52.1
atm_share_12m,"(-inf, 0.3032]",8067,169,0.020949547539357877,0.3557494819938266,0.08427936701741404,33.8
atm_share_12m,"(0.3032, inf]",72596,737,0.010152074494462504,-0.38187731227301636,0.08427936701741404,37.3
atm_share_12m,missing,86788,1573,0.01812462552426603,0.20544379753322356,0.08427936701741404,34.5
util_std_3m,"(-inf, 0.02355]",117216,1497,0.012771294021294021,-0.15004740613437612,0.04307032292665296,35.7
util_std_3m,"(0.02355, inf]",50235,982,0.01954812381805514,0.2826893358608751,0.04307032292665296,35.1
months_zero_payment_3m,"(-inf, 3]",157511,2420,0.015364006323367891,0.03728356725202673,0.03502708234154872,35.7
months_zero_payment_3m,"(3, inf]",9940,59,0.005935613682092555,-0.9151185863464313,0.03502708234154872,30.5
